* Measurement data measured by REW V5.19
* Source: M-Track Eight, no input selected, 1, volume: no control
* Format: 256k Log Swept Sine, 2 sweeps at -4.0 dBFS  With no timing reference
* Dated: Jun 15, 2020 2:19:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mes_b_135_135
* Smoothing: 1/48 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 2.0187378 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
175.967 84.763 -109.390
176.303 85.127 -113.954
176.640 85.459 -118.375
176.976 85.761 -122.651
177.312 86.034 -126.780
177.649 86.280 -130.760
177.985 86.501 -134.589
178.322 86.698 -138.266
178.658 86.874 -141.792
178.995 87.031 -145.169
179.331 87.172 -148.401
179.668 87.298 -151.493
180.004 87.412 -154.453
180.341 87.515 -157.290
180.677 87.609 -160.014
181.013 87.696 -162.636
181.350 87.777 -165.169
181.686 87.853 -167.624
182.023 87.924 -170.013
182.359 87.991 -172.349
182.696 88.054 -174.643
183.032 88.113 -176.905
183.369 88.167 -179.145
183.705 88.216 178.630
184.042 88.260 176.411
184.378 88.297 174.196
184.715 88.326 171.981
185.051 88.347 169.765
185.387 88.359 167.549
185.724 88.360 165.338
186.060 88.351 163.137
186.397 88.331 160.952
186.733 88.300 158.793
187.070 88.258 156.666
187.406 88.206 154.580
187.743 88.144 152.542
188.079 88.074 150.558
188.416 87.997 148.632
188.752 87.915 146.768
189.088 87.829 144.966
189.425 87.742 143.222
189.761 87.655 141.532
190.098 87.571 139.888
190.434 87.491 138.277
190.771 87.418 136.688
191.107 87.352 135.104
191.444 87.296 133.508
191.780 87.248 131.883
192.117 87.210 130.210
192.453 87.181 128.473
192.789 87.160 126.652
193.126 87.147 124.733
193.462 87.141 122.701
193.799 87.140 120.541
194.135 87.142 118.242
194.472 87.147 115.791
194.808 87.153 113.179
195.145 87.159 110.397
195.481 87.162 107.437
195.818 87.163 104.293
196.154 87.160 100.959
196.490 87.153 97.432
196.827 87.140 93.707
197.163 87.122 89.784
197.500 87.099 85.661
197.836 87.070 81.336
198.173 87.037 76.811
198.509 87.000 72.088
198.846 86.961 67.171
199.182 86.920 62.064
199.519 86.879 56.778
199.855 86.840 51.323
200.191 86.805 45.714
200.528 86.775 39.966
200.864 86.753 34.100
201.201 86.741 28.138
201.537 86.742 22.103
201.874 86.756 16.020
202.210 86.785 9.917
202.547 86.831 3.821
202.883 86.893 -2.242
203.220 86.973 -8.244
203.556 87.068 -14.161
203.893 87.180 -19.968
204.229 87.305 -25.645
204.565 87.444 -31.171
204.902 87.595 -36.530
205.238 87.757 -41.708
205.575 87.928 -46.695
205.911 88.108 -51.484
206.248 88.295 -56.070
206.584 88.490 -60.455
206.921 88.691 -64.641
207.257 88.898 -68.636
207.594 89.112 -72.446
207.930 89.330 -76.085
208.266 89.554 -79.565
208.603 89.783 -82.899
208.939 90.015 -86.104
209.276 90.251 -89.193
209.612 90.490 -92.184
209.949 90.731 -95.090
210.285 90.973 -97.928
210.622 91.214 -100.712
210.958 91.454 -103.453
211.295 91.691 -106.165
